FEATURE1,FEATURE2,FEATURE3,FEATURE4,FEATURE5,FEATURE6,FEATURE7,FEATURE8,FEATURE9,FEATURE10,FEATURE11,FEATURE12,FEATURE13,FEATURE14,FEATURE15,FEATURE16,FEATURE17,FEATURE18,FEATURE19,FEATURE20,FEATURE21,FEATURE22,FEATURE23,FEATURE24,FEATURE25,FEATURE26,FEATURE27,FEATURE28
1,59,27,0,0,0,0,0,0,1,0,18,264,1,0,1,0,1,0,0,0,60,600,1,0,0,1,0
2,42,23,0,0,0,0,2,1,2,0,20,363,0,0,0,0,0,0,0,0,60,800,1,0,1,0,1
2,62,28,1,0,0,1,0,0,3,1,17,228,0,0,0,0,0,1,1,0,100,1200,1,0,1,1,1
1,38,25,0,0,0,0,2,1,2,0,12,114,1,0,1,0,1,1,0,0,80,1000,2,1,0,0,1
1,50,22,0,0,0,0,1,1,1,0,13,134,0,0,0,0,0,0,0,0,80,1000,1,0,0,1,0
1,63,27,0,0,0,0,0,0,2,0,12,119,1,0,1,0,1,0,0,0,90,1100,2,1,0,0,1
2,56,27,0,0,0,0,0,0,1,0,16,208,1,0,1,0,1,0,0,1,70,900,1,1,1,1,0
2,43,23,0,0,0,1,0,0,2,0,12,106,0,0,0,0,0,0,0,1,70,300,1,0,1,0,1
1,43,25,0,0,0,1,0,0,1,0,18,250,0,0,1,0,1,1,0,0,100,1200,1,1,0,1,0
1,47,28,0,0,0,0,0,0,2,0,12,116,0,0,0,0,0,1,0,1,80,1000,2,0,0,0,1
2,45,25,0,0,0,1,2,1,1,0,16,196,0,0,0,0,0,0,0,0,70,900,2,0,1,1,0
1,50,27,0,0,0,0,0,0,2,0,21,368,0,0,0,0,0,0,0,0,60,800,1,0,0,0,1
1,65,28,0,1,0,1,0,0,1,0,14,163,1,1,1,1,0,0,0,0,60,800,2,1,0,1,0
1,62,23,0,0,0,1,0,0,2,0,21,385,0,0,0,0,0,1,0,0,60,800,2,0,0,0,1
1,63,25,0,0,0,1,1,1,1,0,15,174,0,0,0,0,0,1,0,0,40,600,1,0,0,1,0
2,65,27,0,0,1,1,0,0,2,0,19,289,0,0,0,0,1,0,0,0,70,900,2,0,1,0,1
2,54,26,0,0,0,0,0,0,1,0,18,263,0,1,1,1,0,0,0,0,100,1200,2,0,1,1,0
1,53,26,0,0,0,0,1,1,3,1,15,166,0,0,0,0,0,0,1,0,100,1200,2,0,0,1,1
1,57,28,0,0,0,0,0,0,1,0,20,353,1,0,1,0,0,0,0,1,40,600,1,1,0,1,0
1,50,21,0,0,0,1,0,0,2,0,21,395,0,0,0,0,0,0,0,0,50,700,2,0,0,0,1
2,29,27,0,0,0,0,0,0,1,0,21,382,0,0,0,0,0,0,0,0,40,600,2,0,1,1,0
1,33,27,0,0,0,0,0,0,2,0,20,348,0,0,0,0,0,1,0,0,60,800,1,0,0,0,1
2,66,22,1,0,0,1,0,0,1,0,15,181,0,0,0,0,0,1,0,0,50,400,2,0,1,1,0
1,61,25,0,0,0,0,0,0,2,0,18,251,0,0,0,0,1,0,0,0,80,1000,2,0,0,0,1
1,49,27,0,0,0,1,0,0,1,0,18,256,0,0,0,0,0,0,0,0,50,700,2,0,0,1,0
2,37,23,0,0,0,1,1,1,2,0,17,218,0,0,0,0,1,0,0,0,40,600,1,0,1,0,1
1,65,23,1,1,1,0,0,0,1,0,16,200,0,0,0,0,0,0,0,0,40,600,1,0,0,1,0
1,51,26,0,0,0,1,2,1,2,0,13,141,0,0,0,0,1,0,0,0,90,1100,2,0,0,0,1
1,35,22,0,0,0,0,0,0,1,0,17,227,0,0,0,0,0,0,0,0,40,600,2,0,0,1,0
1,61,27,0,0,0,0,0,0,2,0,12,120,0,0,0,0,0,0,0,0,60,800,1,0,0,0,1
2,36,26,0,0,0,0,0,0,3,1,18,255,0,0,1,0,1,0,1,0,70,900,2,1,1,1,1
2,52,27,0,0,0,0,0,0,2,0,15,178,0,0,0,0,0,0,0,0,90,1100,2,0,1,0,1
1,49,24,0,0,0,0,0,0,1,0,12,105,0,0,0,0,0,0,0,0,80,1000,2,0,0,1,0
1,45,21,0,0,0,0,0,0,2,0,12,118,0,0,0,0,0,1,0,0,50,700,1,0,0,0,1
1,53,22,0,0,0,0,0,0,1,0,21,389,1,0,1,0,0,1,0,0,50,700,2,0,0,1,0
1,62,24,0,0,0,0,0,0,2,0,20,357,0,0,1,0,0,0,0,0,40,600,2,0,0,0,1
2,61,25,0,0,0,0,0,0,1,0,20,363,0,0,1,0,0,0,0,0,60,800,1,0,1,1,0
1,69,22,0,0,0,1,2,1,2,0,12,118,0,0,0,0,0,0,0,0,80,1000,1,0,0,0,1
1,70,24,0,0,1,0,0,0,1,0,16,207,0,0,0,0,0,0,0,1,60,800,1,0,0,1,0
1,31,28,0,0,0,0,0,0,2,0,13,125,0,0,0,0,0,0,0,1,50,700,2,0,0,0,1
1,53,26,1,0,0,0,0,0,1,0,17,220,0,0,0,0,0,0,0,0,60,800,2,0,0,1,0
2,47,21,0,0,0,1,2,1,2,0,12,105,0,0,0,0,0,0,0,0,50,700,1,0,1,0,1
1,38,24,0,0,0,0,0,0,1,0,19,286,0,0,0,0,1,0,0,1,60,800,2,0,0,1,0
1,36,25,0,0,0,0,0,0,2,0,14,161,0,0,0,0,0,0,0,0,80,1000,2,0,0,0,1
2,62,23,0,0,0,0,0,0,1,0,19,291,0,1,0,1,1,0,0,0,80,1800,1,0,1,1,0
1,55,23,0,0,0,0,0,0,2,0,12,114,0,0,0,0,1,0,0,1,90,1100,2,0,0,0,1
1,38,22,0,0,0,0,0,0,1,0,18,262,0,0,0,0,0,1,0,0,50,700,2,0,0,1,0
1,53,23,0,0,0,1,0,0,2,0,19,283,0,0,0,0,0,1,0,1,40,600,2,0,0,0,1
1,44,28,0,1,1,0,0,0,1,0,19,283,0,0,0,0,1,0,0,0,70,900,1,0,0,1,0
1,46,23,0,0,0,1,0,0,2,0,20,357,0,1,0,1,0,0,0,0,60,800,2,0,0,0,1
2,52,25,0,0,0,1,0,0,3,1,13,124,1,0,1,0,0,0,1,0,40,600,1,1,1,1,1
1,49,27,0,0,0,0,0,0,2,0,18,254,1,0,1,0,0,0,0,0,100,1200,1,1,0,0,1
1,60,28,0,0,0,1,0,0,1,0,21,394,0,0,0,0,0,0,0,0,70,900,1,0,0,1,0
2,52,23,0,0,0,0,2,1,2,0,13,131,1,0,1,0,1,0,0,0,70,900,2,1,1,0,1
1,47,23,0,0,0,0,2,1,1,0,18,259,0,0,0,0,0,0,0,0,100,1200,2,0,0,1,0
2,52,25,0,0,0,0,0,0,2,0,16,195,0,0,0,0,1,1,0,0,50,700,1,0,1,0,1
1,51,23,0,0,0,1,0,0,1,0,18,256,0,0,1,0,0,1,0,0,50,700,1,0,0,1,0
1,54,27,1,0,0,0,1,1,2,0,13,138,0,0,0,0,1,0,0,0,90,1100,2,0,0,0,1
2,60,23,1,0,0,1,0,0,1,0,19,289,0,0,0,0,0,0,0,1,70,900,2,0,1,1,0
1,54,28,0,0,0,1,0,0,3,1,18,256,0,0,0,0,0,1,1,0,50,700,1,0,0,1,1
2,71,25,1,0,1,0,0,0,1,0,15,172,1,0,1,0,1,1,0,0,70,900,2,1,1,1,0
1,24,23,0,0,0,0,1,1,2,0,19,274,0,0,0,0,0,0,0,0,100,1200,2,0,0,0,1
1,66,26,0,0,0,0,1,1,1,0,12,109,0,0,0,0,0,0,0,1,100,1200,2,0,0,1,0
2,57,23,0,0,0,0,0,0,2,0,17,231,0,0,0,0,0,0,0,0,70,900,1,0,1,0,1
1,49,27,0,0,0,0,0,0,1,0,21,385,0,0,0,0,0,0,0,0,70,900,1,0,0,1,0
1,51,20,0,0,0,0,0,0,2,0,18,253,0,0,0,0,0,0,0,0,80,1000,2,0,0,0,1
2,50,25,0,0,0,1,1,1,1,0,19,283,0,0,0,0,0,0,0,0,60,800,1,0,1,1,0
1,62,23,0,0,1,0,0,0,2,0,20,346,0,0,0,0,0,0,0,0,80,1000,1,0,0,0,1
1,51,24,0,0,0,1,1,1,1,0,17,227,1,0,1,0,1,0,0,0,60,800,1,1,0,1,0
1,38,27,0,0,0,1,0,0,3,1,18,264,1,0,1,0,1,0,1,0,50,700,2,1,0,1,1
1,57,25,0,1,0,0,3,1,1,0,14,155,1,0,1,0,0,0,0,0,40,600,1,1,0,1,0
1,44,28,0,0,0,1,0,0,2,0,18,260,0,0,1,0,0,0,0,0,70,900,2,1,0,0,1
2,43,28,0,0,0,0,0,0,1,0,12,120,0,0,0,0,1,0,0,0,100,1200,1,0,1,1,0
2,41,22,0,0,0,1,0,0,2,0,12,110,0,0,0,0,0,0,0,1,50,700,1,0,1,0,1
1,57,24,1,0,0,1,0,0,1,0,20,353,0,0,0,0,1,0,0,0,100,1200,1,0,0,1,0
1,62,25,0,0,0,1,2,1,2,0,18,259,0,0,0,0,0,0,0,1,40,600,2,0,0,0,1
1,55,26,0,0,0,1,1,1,1,0,19,285,0,0,1,0,1,0,0,0,80,1800,2,1,0,1,0
2,63,26,1,0,0,0,0,0,2,0,17,229,0,0,0,0,0,0,0,0,60,800,1,0,1,0,1
1,60,28,0,0,0,0,0,0,1,0,21,373,0,0,0,0,0,0,0,0,70,900,2,0,0,1,0
2,52,26,0,0,0,0,1,1,2,0,19,278,0,0,0,0,1,0,0,0,70,900,2,0,1,0,1
1,58,27,0,0,0,0,0,0,1,0,20,347,0,0,0,0,1,0,0,0,60,800,1,0,0,1,0
2,53,23,0,0,0,0,0,0,2,0,19,287,0,0,0,0,0,1,0,0,110,1300,2,0,1,0,1
1,47,23,0,0,0,0,1,1,1,0,17,223,1,0,1,0,0,1,0,0,80,1000,2,0,0,1,0
1,61,23,0,0,0,0,0,0,2,0,18,248,1,1,1,1,0,0,0,0,50,700,2,0,0,0,1
1,50,28,0,0,0,0,1,1,1,0,14,146,0,0,1,0,1,0,0,1,100,1200,1,1,0,1,0
1,74,28,0,0,1,0,0,0,1,0,14,144,0,0,0,0,0,0,0,1,60,800,2,0,0,1,0
2,30,26,0,0,0,0,0,0,1,0,13,136,1,0,1,0,1,0,0,1,40,600,2,1,1,1,0
2,55,23,0,0,0,0,0,0,2,0,13,140,0,0,0,0,0,0,0,0,90,1400,1,0,1,0,1
1,37,22,0,0,0,0,1,1,1,0,17,225,0,0,0,0,1,0,0,1,70,900,2,0,0,1,0
1,51,22,0,0,0,1,1,1,2,0,15,175,0,0,1,0,1,0,0,0,90,1100,2,1,0,0,1
2,63,25,0,0,0,0,0,0,1,0,21,394,0,0,0,0,0,0,0,0,50,700,2,0,1,1,0
2,50,24,0,0,0,0,0,0,2,0,19,274,0,0,0,0,0,0,0,0,110,1300,1,0,1,0,1
2,61,24,1,0,0,1,0,0,3,1,19,289,1,0,1,0,1,1,1,0,50,700,1,1,1,1,1
1,50,27,0,0,0,1,0,0,2,0,12,122,1,0,1,0,0,0,0,0,40,600,2,1,0,0,1
2,44,25,0,0,0,0,0,0,1,0,18,252,0,1,0,1,0,0,0,0,100,1300,2,0,1,1,0
1,65,22,0,0,0,0,0,0,2,0,19,274,0,0,0,0,0,0,0,0,40,600,1,0,0,0,1
1,40,24,0,1,0,1,0,0,1,0,18,262,0,0,0,0,0,0,0,0,50,700,2,0,0,1,0
1,52,25,0,0,0,1,0,0,2,0,14,146,0,0,0,0,0,0,0,1,40,600,2,0,0,0,1
1,44,23,0,0,0,1,0,0,1,0,17,218,0,0,0,0,1,0,0,0,80,1000,2,0,0,1,0
2,63,26,0,0,0,0,0,0,2,0,19,287,0,0,0,0,1,0,0,1,60,800,1,0,1,0,1
1,54,26,0,0,0,1,0,0,1,0,12,113,0,0,0,0,0,0,0,1,60,800,2,0,0,1,0
1,57,25,1,0,0,0,3,1,2,0,16,191,0,0,0,0,1,0,0,0,70,900,2,0,0,0,1
